0.3um/m3	0.5um/m3	1.0um/m3	3.0um/m3	5.0um/m3	10.0um/m3
4169962	665329	50853	4238	0	0
4110633	663210	52972	2119	0	0
4290738	648378	105944	10594	4238	0
4106395	669567	44497	4238	0	0
4078850	714064	48734	4238	2119	0
4261074	663210	40259	2119	0	0
4288619	625070	40259	0	0	0
4146654	682280	38140	2119	2119	0
3989857	701350	42378	8476	0	0
4000451	563623	50853	6357	0	0
4222934	769155	52972	2119	0	0
4131822	654735	48734	2119	2119	0
4400920	709826	48734	2119	0	0
4089444	650497	36021	0	0	0
4244123	648378	36021	0	0	0
4085206	610238	55091	4238	2119	2119
4159367	675924	36021	6357	2119	0
4047067	707707	31783	0	0	0
4104276	707707	50853	4238	2119	2119
4265311	697113	44497	6357	2119	0
4347948	644140	38140	2119	2119	0
4102157	652616	31783	2119	0	0
3945360	639903	31783	6357	2119	0
4456011	754322	33902	0	0	0
4273787	760679	48734	2119	0	0
4456011	758560	55091	4238	4238	2119
4068255	675924	31783	4238	0	0
3996213	633546	36021	0	0	0
4148773	671686	27545	4238	2119	0
3875437	603882	50853	0	0	0
3975025	652616	36021	0	0	0
4112752	652616	48734	2119	0	0
4146654	650497	33902	0	0	0
4358542	699231	29664	0	0	0
4180556	690756	42378	2119	0	0
4102157	610238	38140	0	0	0
4460249	680161	44497	2119	0	0
4294976	800938	63566	4238	0	0
3911458	620833	36021	4238	2119	0
4430584	705588	44497	4238	0	0
4248360	711945	52972	6357	2119	2119
4108514	595406	46615	4238	0	0
4292857	690756	40259	0	0	0
4199626	701350	38140	0	0	0
4157248	663210	42378	0	0	0
4468724	692875	44497	0	0	0
4042829	644140	40259	2119	2119	0
4432703	703469	44497	2119	0	0
4040710	661091	42378	0	0	0
3936885	603882	38140	4238	0	0
4068255	680161	48734	0	0	0
3979262	608119	57210	0	0	0
3970787	601763	31783	2119	0	0
3975025	661091	40259	0	0	0
4191151	764917	44497	0	0	0
4280144	650497	40259	4238	2119	2119
4352186	750085	57210	2119	2119	2119
4322521	690756	38140	2119	2119	0
4066136	650497	36021	4238	0	0
3966549	593287	31783	0	0	0
5428578	1139959	381399	182224	135609	50853
4205983	760679	84755	27545	14832	8476
4542885	856029	125014	23308	19070	12713
4297095	671686	46615	4238	4238	2119
4108514	720420	29664	0	0	0
4197507	724658	48734	4238	4238	2119
4100039	692875	33902	2119	0	0
4136060	618714	42378	2119	0	0
4261074	692875	50853	0	0	0
