0.3um/m3	0.5um/m3	1.0um/m3	3.0um/m3	5.0um/m3	10.0um/m3
4456011	851791	59329	2119	2119	0
4691207	798819	59329	4238	2119	0
4449654	758560	82636	2119	2119	0
4407277	722539	69923	6357	0	0
4383969	754322	63566	2119	2119	0
4333116	775511	59329	6357	4238	0
4477200	758560	57210	2119	0	0
4506864	786106	46615	4238	2119	0
4305570	786106	55091	0	0	0
4403039	792462	69923	4238	2119	0
4517459	779749	59329	0	0	0
4322521	741609	57210	0	0	0
4330997	762798	65685	4238	2119	2119
4640354	790343	55091	4238	0	0
4572550	733134	88993	10594	2119	2119
4456011	832721	63566	6357	0	0
4678494	794581	82636	4238	2119	2119
4409396	796700	46615	2119	0	0
4301332	707707	72042	6357	0	0
4358542	815770	52972	2119	0	0
4432703	722539	69923	2119	2119	0
4570431	817889	55091	6357	2119	0
4422109	777630	63566	6357	2119	2119
4710277	843315	63566	2119	0	0
4589501	794581	74161	2119	2119	0
4456011	792462	76280	0	0	0
4515340	845434	55091	2119	0	0
4456011	703469	59329	2119	2119	0
4591619	769155	72042	8476	2119	0
4631878	737371	55091	0	0	0
4462368	739490	59329	6357	4238	0
4479319	798819	63566	0	0	0
4502626	841197	82636	6357	4238	0
4398801	786106	65685	0	0	0
4515340	786106	95350	6357	4238	0
4441179	739490	69923	6357	0	0
4432703	779749	76280	6357	4238	0
4650948	752203	59329	4238	0	0
4644592	809413	80518	4238	2119	0
4453892	747966	82636	8476	4238	2119
4441179	830602	76280	4238	0	0
4487794	851791	88993	2119	0	0
4511102	800938	61448	8476	2119	0
4364899	756441	52972	0	0	0
4638235	811532	78399	0	0	0
4572550	775511	65685	2119	2119	0
4540766	754322	55091	2119	0	0
4394563	798819	63566	4238	2119	0
4466605	794581	76280	6357	2119	2119
4576787	792462	59329	2119	0	0
4797151	864504	76280	4238	4238	0
4504745	790343	50853	4238	2119	0
4396682	830602	84755	2119	0	0
4561955	826364	48734	2119	2119	0
4578906	809413	67804	2119	0	0
4553480	783987	67804	2119	2119	0
4640354	839078	84755	2119	0	0
6195614	2212114	1161148	406826	186462	42378
6221040	2220589	1209882	421658	209769	82636
6990195	2303226	1334896	442847	245790	97469
6587607	2366792	1245903	415301	226720	61448
6390551	2095575	1114532	368686	192818	65685
6543111	2203638	1203526	377161	205532	78399
6371481	2220589	1195050	360210	186462	59329
6142642	2110407	1106057	362329	167392	42378
6182901	2152785	1154791	396231	203413	72042
6407502	2114645	1199288	396231	211888	72042
6367243	2290513	1235309	400469	203413	65685
6365125	2207876	1173861	366567	180105	59329
5949823	2095575	1146316	328427	171630	69923
6585488	2182449	1142078	394112	186462	72042
6312152	2078624	1106057	341140	167392	50853
6691433	2237540	1195050	402588	207651	84755
6375719	2072268	1021302	307238	180105	59329
6104502	2072268	1114532	347497	194937	74161
6062124	1968442	1008588	286049	131371	50853
6019747	2112526	1038253	286049	146203	50853
5752767	1998107	993756	309357	131371	40259
5915921	1979037	1006469	275455	120776	33902
5971012	2017177	997994	292406	141965	61448
5926516	1938778	1048847	328427	163154	55091
5752767	1868855	894169	271217	122895	40259
5890495	1953610	989518	300881	150441	55091
6030341	2002344	993756	271217	161035	44497
5358655	1915470	959854	283930	129252	31783
5532404	1909114	923833	266979	110182	19070
5390438	1765030	832721	269098	114420	36021
5263305	1784099	832721	256385	99588	33902
5284494	1652729	769155	241553	122895	25427
4996326	1614589	754322	220364	84755	23308
5343823	1724771	820008	218245	120776	44497
5127697	1582806	724658	216126	95350	25427
4920046	1565855	750085	216126	110182	36021
5269662	1597638	743728	222483	95350	33902
5072606	1481099	707707	209769	99588	25427
4936997	1502288	661091	177986	82636	25427
5358655	1580687	737371	209769	103825	36021
4947592	1508645	703469	177986	72042	19070
5028109	1493813	618714	165273	82636	27545
4693326	1400582	603882	152560	69923	14832
4534410	1411176	601763	161035	57210	19070
4699682	1358204	658973	184343	88993	27545
4706039	1326421	589049	177986	86874	33902
4646710	1349728	576336	146203	69923	31783
4511102	1256498	517007	146203	57210	8476
4335235	1256498	470392	129252	65685	12713
4525934	1192931	491581	154678	65685	25427
4352186	1203526	451322	114420	59329	8476
4593738	1218358	487343	127133	59329	16951
4680613	1188693	512770	161035	78399	25427
4405158	1178099	495819	144084	69923	27545
4549242	1175980	455560	122895	59329	19070
4104276	1173861	436490	101706	36021	8476
4248360	1188693	451322	105944	48734	6357
4347948	1146316	413182	114420	55091	21189
4195388	1093344	411063	114420	55091	8476
4212339	1180218	398350	118657	40259	10594
4394563	1097581	375042	116539	55091	10594
3932647	1008588	351735	86874	36021	4238
4125465	966211	377161	120776	52972	8476
4129703	1061560	366567	95350	36021	14832
4030115	1008588	324189	80518	42378	16951
3964430	1034015	383518	99588	57210	14832
3909339	964092	311476	50853	16951	4238
3761017	1074274	347497	99588	40259	12713
3879675	970448	328427	88993	31783	14832
4004689	949260	296644	82636	36021	12713
4089444	881455	300881	91112	52972	19070
3845773	953497	303000	78399	29664	8476
3994094	911120	258504	63566	29664	2119
3570318	860266	281811	80518	36021	4238
3945360	1006469	332665	63566	25427	6357
3720759	947141	305119	72042	31783	8476
3911458	911120	273336	72042	25427	4238
3727115	853910	260623	55091	21189	0
3955955	930190	269098	74161	23308	6357
3780087	966211	298763	61448	23308	2119
3568199	898406	228839	46615	19070	4238
3777968	843315	254266	67804	23308	2119
3854248	889931	250028	48734	27545	2119
3623290	809413	203413	44497	23308	4238
3896626	923833	224602	69923	25427	8476
3756780	877218	262741	50853	23308	8476
3701689	883574	224602	50853	19070	2119
3549129	735252	177986	29664	21189	6357
